title,year,genre,review,gptzero_result
Jurassic World: Dominion,2022.0,"action, adventure, sci-fi","Before I went to this film (because my Grandson is nuts about this series of films) I read one newspaper review. It wasn't glowing, but it was positive. Unfortunately, this is a mess. Others have already talked about the issues I have. Granted, this is an empty headed summer movie, it could still have been done with some serious thought. I was hanging in there throughout with a new dinosaur attack every three minutes, and velociraptors going at fifty miles per hour and not getting tired. Humans being assaulted time after time and yet showing no fatigue. I also didn't see a scratch on any of them. But the best of all was the promise made to a baby dinosaur and his mother that precluded saving the world from famine. Not to mentioned the coincidences of everyone showing up in just the right places. I still don't understand how they got into that facility so easily. The return of the original cast was not helpful other than Jeff Goldblum's sarcasm. Anyway, it's all been said. This is a poor movie.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Fifty Shades Freed,2018.0,"drama, mystery, romance","If I could give a 0/10 rating I would. Christian's character has nothing interesting left to offer. Anastasia was scripted to seem like she is taking initiative (somewhat) and defying christian but her acting is clumsy and she does an awful job at coming across as even slightly empowered. The only good acting in the entire film comes from the banker. The plot is lazily thrown together and the attempts at suspense are god awful. The only people who will enjoy or defend this movie are absolute die hard fans. If you consider yourself a movie buff or even just someone who casually enjoys movies, DO NOT SEE THIS. I will spare you the frustration. I even enjoy bad movies, I love having fun with a bad movie and making jokes about it to my friends while we watch it. I did that in this film but even that was not enough to make this an enjoyable experience. The ""BDSM"" in this film is a sad sad portrayal that only the oldest, driest, and most sexually frustrated wine moms will find arousing. A TSA pat-down is kinkier than this excuse for erotica. The sex scenes feel very required and obtuse. The ending is a horrible attempt to tie things up and make them feel complete, it is incredibly cheesy, as is every single bit of dialogue in this film. I can't even continue to review this because if I do I will need to down a bottle of excedrin. Just don't waste your money.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Call Me by Your Name,2017.0,"drama, romance","Beauty in the midst of all the ugliness we're living in, it's like a shock. I wept like I hadn't wept in a movie since I was very young. It made me think and remember summers of my own life. It made remember sounds and smells. I was transported. The smartness, candor and gentleness of this unexpected love story goes beyond anything I've ever seen. Luca Guadagnino is rapidly becoming one my favorite directors working today. Armie Hammer completely demolished my preconceptions with a performance that is total perfection and I haven't mention Timothee Chalamet yet. No I need to dedicate the lasts paragraphs to him because his performance goes beyond perfection. I didn't know him at all. Now I' a fan. It reminded me of the first time I saw Daniel Day Lewis playing a gay punk in ""My Beautiful Launderette"" An explosion of beauty when you least expected. Thank you for that.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Little Women,2019.0,"drama, romance","I read through many of the reviews for this 2019 version of ""Little Women"" and noticed that most reviewers adored the film. Because of this, I assumed I also would love the movie. Sadly, however, I was left feeling ambivalent about it...and I noticed that my wife and oldest daughter felt pretty much the same way.

I won't talk about the plot...after all, there's a summary on IMDB and lots of reviews talk about this. What I should mention is that the film is much more like the book than previous versions....a plus. But the reasons I still did not love this film are what stop me from recommending the film. First, there simply is too much story to cram into a little over two hours. If you are going to try to stick closer to the book, then perhaps consider making it a mini-series. This is because although the film is more like the book, to do this they also omit a lot of things....making the story seem a bit disjoint and confusing. Second, I really didn't think they did a good job of helping the viewers to actually care about the characters. Some of this was because the little women in the story were poorly chosen--much too old in some cases (the 12 year-old early in the story looked to be about 20). Some was because the choppiness of the story really harmed the film because the characters just seemed one-dimensional. Overall, a decent story but even with its sticking closer to the book, I much preferred the 1990s version...which was much more charming, fun and likable.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Little Things,2021.0,"crime, drama, mystery","A movie can leave feeling any number of ways-happy, sad, amazed, provoked, whatever-but the common denominator of good ones is that when the lights go up, you feel satisfied; it was worth the trip. I didn't fee that way when this one ended. Yes, it made its point: a detective working a murder case can become obsessed; it's the burden of responsibility, seeking justice, retribution, vengeance-choose your word-for the victim. And the point of the story is the old proverb: ""Before you set out on a journey of revenge, dig two graves"" (or something like that). That's all well and good, but IMO, this story melted away in the last 30 minutes. With some hard work on the script and more inventiveness, it could have been so much more.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Thor: Love and Thunder,2022.0,"action, adventure, comedy","Wow as a HUGE! Marvel fan I'm shocked at how bad this was. So many cliché jokes, no character development, and Chris Hemsworth is no longer an actor in my opinion but a Disney prop just generating revenue with the same old schtick. I personally think Disney buys reviews because how these disasters just debut with higher rating and falter when us fans speak our mind is shocking. Only good thing was I was able to go see Back Phone after 80 mins of this crap and actually found a movie I really enjoyed that I normally wouldn't have seen. Way better filmmaking and acting. The jokes in this Thor aren't even funny, it's like they try to get the audience to laugh with them but we end up laughing at them. Films don't care about good storytelling anymore, they want to be ""politically correct"" and enlighten us with how they want us to think. All hogwash. Save your money. Disney is 3rd rate.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Don't Look Up,2021.0,"comedy, drama, sci-fi","A movie that about shows what would happen and how humanity would react if a huge meteor was threatening to destroy the Earth and humanity (the comedy aside). Both a funny but also tragic movie towards the end. It hits deeper considering how realistic this was (taking away the small unrealistic parts). I enjoyed this but in my personal opinion, they could've removed the comedy and just made it full on drama and it would've hit much harder than it did with the comedy.

The cast was great and the plot was intriguing. I, like many, do not get the hate for this movie at all. I personally think it was enjoyable. But I guess everyone just has their own opinions at the end of the day and that's fair but i would've rated it higher if they removed the comedy completely.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Crazy Rich Asians,2018.0,"comedy, drama, romance","Director Jon Chu was brilliant in Now You See Me 2, so naturally Crazy Rich Asians was a must see for me. What surprised me the most about the film was the phenomenal, and fairly untapped, acting talent from the entire cast. Constance Wu was absolutely perfect. It was difficult to praise any one performance besides hers because everyone was so genuinely great. I believe this speaks on the state of Hollywood and portraying Asians in primary roles. So many Asians actors and actresses are limited to supporting roles, so I hope that the break out cast of Crazy Rich Asians shows future movie makers that there is unbelievable untapped potential in the acting market. As the credits were rolling, I found myself feeling so happy and I could not quite put a finger on what was making me feel this way. Upon reflection, I believe that a well written, well directed, and well casted film is just bound to leave the viewer in some sort of awe. Crazy Rich Asians did just that.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
After,2019.0,"drama, romance",Josephine the girl who plays the lead role is the main reason to watch this average romantic drama which without Josephine would be boring as hell if u exclude last half an hour or so but Josephine and her chemistry with the the guy who played the other main role makes this movie worth of your time. thank god we finally got something worth of a scenario twist in last 20 minutes and the movie ended strong but at the end Josephine is the reason to watch this film.,{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Fifty Shades Darker,2017.0,"drama, mystery, romance","Neither as good or as bad as so many commentators seem to think. It has high production values. The direction is unobtrusive. I haven't read the novels, so cannot really comment on the source material. Dakota Johnson hit the corruptible ingenue character pretty well, and looks smashing while doing so. Jamie Dornan, though... In my comments on the first movie, I compared his depth of emotion to a terminator. In this one, he at least attempts some emotional scenes. He doesn't do them very well, but he tries. Supporting cast, especially Marcia Gay Harden, were pretty good, with the exception of Kim Basinger. There is really no reason to see this, except as a continuation of the first movie. It could never stand alone.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Life,2017.0,"horror, sci-fi, thriller","The internet is a funny place... it seems to be filled with people who have graduated with 5 Ph.Ds. and clearly seem to be smarter than everybody else (thousands of astronauts and astrophysicists on IMDb apparently). One star rating? Come on... Clearly, you haven't watched enough films to know decent from terrible.

I watched this film without having heard of it (no trailers, spoilers or anything). I'm a sci-fi fan and thought this was a good watch.

I found the characters to lack depth and their actions were questionable at times but the plot was believable and the acting decent. Special effects were good and made the movie believable in my opinion. The movie was well shot and I thought the scenes with the creature were pretty cool.

I don't get how people even compare this movie to ""Aliens""; it's nothing alike. Overall, I thought it was pretty good.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Pirates of the Caribbean: Salazar's Revenge,2017.0,"action, adventure, fantasy","This is a step in the right direction for the franchise after the letdown of Pirates 4. Johnny Depp doesn't bring his A game here but the other characters get some decent screen time so it doesn't take too much of the shine from the movie.

There are a few laughs and the usual bevy of action you'd expect. The plot is as farcical as ever, so don't expect a deep thinker - just enjoy the fun. Geoffrey Rush as Hector Barbosa never disappoints and Javier Bardem delivers a decent villain in the form of Captain Salazar.

Don't take it too serious, switch off your brain and just enjoy it for what it is: an action packed swashbuckling adventure.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Black Widow,2021.0,"action, adventure, sci-fi","Yes, the movie is an average film. But I enjoyed it because finally, I get to see where Black Widow came from. It's nice to see some of what made her, her. It is a shame that they didn't get more into it. I think the movie really could have given us more about the ruthless training and experiences that Widow had to endure. A lot of the movie was implied but not shown.

The plot was simple. It was nice to have some new heroes and villains. I really liked the cast and the jokes were fun. But as I said before the plot is very simple. Pretty much about killing a guy, a guy that we really didn't know or have any bad feelings for because we barely even got to see the man being evil. The movie lacked on showing the power of the widows. They had very spaced out and very few scenes of them.

I did enjoy the sister dynamic of the two girls. It was fun to see them both in action and it was fun to see them bicker with each other. In a way it is a sad movie. With what happened in the previous film. Did it do the Black Widow Justice? Some. It really could have been better by showing more. It missed all the heart string moments. Giving us more of an eye candy film with not much depth.

""Your pain only makes you stronger""",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
No Time to Die,2021.0,"action, adventure, thriller","Undoubtedly intended as a homage to the Bond franchise. Entertaining overall, but agree with other reviewers that it felt more like a typical and cliched action movie, particularly in the second half - more of a parody than a homage. Above all, while it's reasonable to modernise the Bond character, we may have now reached a point of no return for the spirit of Fleming's real Bond. The next movie will be make - or I fear break - to the substance of what has made Bond movies distinctive and great.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Spider-Man: Into the Spider-Verse,2018.0,"animation, action, adventure","The worlds of superhero movies and superhero comics are not as similar as they seem on the surface. Currently, film studios are all about the ""extended universe"", seeing how many different titles and characters they can shove into one franchise (Avengers, X-Men, Justice League), making for an easy way to squeeze a few extra bucks out of their lesser known properties. Comics have this as well, of course. However, they also have something modern movies haven't really tapped into yet: story one-offs, a chance for a storyteller to create a unique tale and not be constrained by the implications on or from the larger universe. Spider-Verse gets to do just that, while playfully taking on the fun (if convoluted) absurdity of extended superhero universes. Listen, I hear you. ""How could we possibly need another Spider-Man movie?"" Spider-Verse understands that question and has a take on it. Yes, Peter Parker is here. In fact, there are two Peter Parkers. There's also a Spider-Woman, a Noir Spider-Man, an anime Spider-Girl/Robot, and a Spider-Pig. At the center though is Miles Morales, an Afro-Hispanic Brooklyn teen who must help these other Spider-People get back to their own planes of existence. He fights with his cop dad, he adores his shady uncle, hates being simply the smartest kid in the room, and just wants to do something that matters. Being Spider-Man wasn't his idea, but hey, when a radioactive spider gives you powers, what choice do you have? Look, I don't have any sort of hot take on this movie. It looks great, the humor pops with surprises, the voice casting is beyond perfect. It's simply a stylishly exciting and refreshingly unique take on the superhero genre, and sometimes that's more than enough.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Terminator: Dark Fate,2019.0,"action, adventure, sci-fi",In its core its a rehash of everything we have seen before only worse. As many said before some characters are almost a parody of their former selfs. The writers wanted to mess with the viewers expectations. So they also included a couple of surprises that no one asked for. They even succeeded in gender swapping a key character which happens a lot in movies theses days. And of course lots of stupid jokes. The action seems to be all CGI so nothing really exiting happening. I hope they won't do another one. Its depressing to see a franchise getting destroyed this way.,{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Gretel & Hansel,2020.0,"fantasy, horror, mystery","A film that you can fill in the blanks from your own imagination. Loosely following the story Hansel and Gretel. The soundtrack certainly adds to the film. It's not an ott typical USA film. Using the fantastic scenery of Ireland, that can be made to be very haunting. My only criticism is sometimes the sound of dialogue is not clear enough and difficult to understand a few mumbled lines. Otherwise watchable.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Palm Springs,2020.0,"comedy, fantasy, mystery","Due to the repetitive nature of time loop movies, they have to be done right in order to keep the audience engaged the whole time. Palm Springs does it right. This film does a great job of keeping things fresh. Andy Samberg shows that he's more than just a goofball, and Cristin Milioti proves, once again, why she should have had a more prominent role on How I Met Your Mother. I wish this film were a little less vulgar, so it would be accessible to a broader audience, because I think more people should take a trip with Palm Springs.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Nun,2018.0,"horror, mystery, thriller","It seems like, in The Conjuring 2, the writers just thought: ""a monster in a nun costume - that seems really cool!"" Then, when they try to build a story around it, they can't get the square peg to fit in the round hole. It's a nun monastery in Romania. And a demon called Valak. But why is he running around in a nun costume? That story doesn't get developed enough. A good ghost story always have a mystique and history, but this movie doesn't deliver in that aspect. Instead they seem just to rely on jump scares and cheap thrills.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Lion King,2019.0,"animation, adventure, drama ","This movie is Amazing!!! The imagery and colors are remarkable. It brought back so many memories from when I was Young. Let's face it, nothing will ever top the Original. People are complaining about the animals not having emotion line the original?? Are you serious? They try making this movie as real as it gets, you guys want to see a Lion smiling?? Seriously!!! Music was nostalgic, everything was perfect. Best Disney ""live-action"" movie of all.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Bodies Bodies Bodies,2022.0,"comedy, horror, mystery","There are a lot things that I really like about Bodies Bodies Bodies. How it makes fun of Gen Z. Which is why all of the characters are intentionally obnoxious, as well as the great twist. My issues with it being that though the film is short, I started to loose interest. And the humor, which I'll admit I was laughing in any many scenes, there were points where I couldn't tell whether or not if it was trying to be funny. Overall, Bodies Bodies Bodies is a mixed bag.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Death on the Nile,2022.0,"crime, drama, mystery","The book is simple. The book is not a long book just short of a 300 pages, so why the unnecessary changes to the characters from the book? It either broke interesting characters or completely removed them. Some characters from the book are combined in a single character in the movie and not for the best. WHY??? These changes completely ruined the smooth structure of the book to ""simplify"" it for modern audiences I suppose but again, WHY? The book is not that difficult to follow. Another thing that ruined the movie is the horrendous CGI. The CGI looks like a cutscene from a Playstation 3 game. The green screen OMG looks like someone cutout the character from a green screen with his phone and then pasted on a badly drawn background. And lastly the acting. I'm sorry but most of the cast were bad, which is sad because most of them proved their talent in other projects (except Gal Gadot. All she has is a beautiful smile) Skip this movie. If you want a good detective story go read the book. It's not a long story. You'll probably finish the book a day. 3-4 days if english is not your first language. Yes it's that easy to read through and understand it.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Us,2019.0,"horror, mystery, thriller","Trailer was better than the movie. To me this movie just never takes off. It's a shame because there is some fantastic imagery and a wonderful theme lying underneath but in the end it can not overcome its plot holes and failed delivery of the message its trying to speak. It truly believes it's deeper than it is, but left me unfulfilled. Kind of lazy/rushed writing in my opinion. Kind of just throws a bunch of mediocre stuff at you without any real substance and expects the audience to give it purpose and deeper meaning in there own heads. Which is fine to do but to me this movie wasn't worthy of that merit of thought. You keep waiting for it to evolve but it just never does. Honestly can't believe critics are putting this on such a pedestal giving it such rave reviews.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Lighthouse,2019.0,"drama, fantasy, horror","""The Lighthouse"" is one of the strangest films I've ever seen. Describing it or even knowing whether or not I liked it is pretty difficult. Suffice to say, it was is a very, very unique movie...one that is quite haunting and difficult.

The story is set in the late 19th century and a lighthouse keeper (Willem Dafoe) and his assistant (Rob Pattinson) arrive at the facility for their tour of duty. At first, things seem pretty mundane, though over time they both seem to be losing their minds...Pattinson's character in particular. Where it goes from there is ugly, disturbing and weird.

This is definitely NOT a film for everyone. In fact, I'd go so far as to say most people probably would not like the film....and fewer yet would really enjoy it. But it also is a wholly original viewing experience and I can respect the folks who made it. The acting is good....and it feels much like peeking inside the mind of a madman. Overall, not enjoyable but also pretty amazing.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Lady Bird,2017.0,"comedy, drama","This film is a blissful piece of nostalgic joy. I was nowhere near Sacramento in 2002, but whilst watching I genuinely felt as if I was there.

The relationship between Ladybird and her mother is the underlying thread throughout and they pull off a believable dynamic that's fun to see. There are also a bunch of other sub stories that are beautifully woven in.

I highly recommend if you want a nice relaxing film that is not too long and makes you smile at the end.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Eternals,2021.0,"action, adventure, fantasy","Not really sure why this movie got so much hate. It's introducing a swath of new superhero's and doesn't really converge with any other Avengers plot lines save for a few mentions of Thanos, Thor and some other hero's. That job on its own isn't an easy one and I think they did a fantastic job of giving us a new storyline. The shear scale of the movie was well done both in terms of time periods and in general how epic and massive everything felt. Loved the diversity of the characters - every one of them added something to the story. With that being said - and this is coming from just your average Marvel fan with no knowledge of the comics - the Eternals powers all seemed a bit underwhelming. Maybe it's just that they were trying to display how powerful the deviants were but even Ikaris couldn't take down one on his own. Other than that the movie was absolutely beautifully shot - maybe the best looking Marvel movie to date. Again, I'm not sure what the hate is about but I thoroughly enjoyed watching it.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Alita: Battle Angel,2019.0,"action, adventure, sci-fi","It remains, for me, a mystery the source of seduction of this film. Sure, the story, the fights, the determination and vulnerability of the lead character. But it is more. Something becoming, scene by scene, the answer to deep expectations of the viewer. The story is simple and many pieces of it are so familiar. But it remains, from the beginning to the last scene, just fascinating. No explanations. Only a great and solid show.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Shazam!,2019.0,"action, adventure, comedy","It was pretty much exactly what I expected which is a really enjoyable and lighthearted superhero film with some funny moments and that will be enough for most people but it just didn't blow me away. No way this is a 10 like some are suggesting and to nitpick, adult Billy acts nothing like young Billy at all. Don't get me wrong - its still a fun movie which I can recommend.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Bohemian Rhapsody,2018.0,"biography, drama, music","This movie was a brilliant portrayal of the mixed up life, and massive talent that was Mercury ... and that is in no way meant to diminish the other fabulous musicians who made up this wonderful band. Whilst Freddie's life and death are quite well documented, his inner turmoil is not - this movie opens this up for all to see, and highlights actions and individuals who had a large influence on his fragile life, both good and horrendously bad. If only he could have been happy with the knowledge that he had one of the best singing voices, if not THE best, that ever fronted a rock band. Rami Malek does a wonderful job of portraying him, and in so many ways has captured his mannerisms to a tee. Loved it, and listening to the music in an IMAX auditorium was brilliant.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Nobody,2021.0,"action, crime, drama","I was intrigued by this movie as Bob Odenkirk was in the lead role in the movie. Since the scriptwriter and producers of this movie are also in the team of the John Wick series, I was expecting this kind of movie. First of all, the movie is great. The acting is great, the action is very good, the director did a great job too. This is one of the surprise movies of the year. It was fun movie.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Red Notice,2021.0,"action comedy, thriller","Red Notice is an interesting experiment to see what happens when you put three attractive and charismatic lead actors in a movie with a cookie-cutter plot. As it turns out, it's pretty enjoyable. And while the twists and turns don't really make sense, I still found myself smirking at the jokes and allowing ridiculousness because I was having a good time. Red Notice doesn't break any new ground, but it's a safe bet if you're looking for an action comedy to pass the time.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Prey,2022.0,"action, adventure, horror","Confession: I'm the guy who watched the original Predator way too many times thanks to the magic of VHS...but then never watched a single sequel afterwards. As far as I'm concerned ""Predator"" = jungles and body butter. So I fully admit that I have limited context here. That said, this movie kicked butt. I cared way more about Naru and her brother (not to mention her dog) than I did about anybody in the original. I found the cinematagrophy breathtaking, I found the characters compelling, and I'm kind of all in on seeing what happens when we transport modern franchises into different historical/cultural contexts. Plus, the callbacks were delightful. Nobody's going to give this movie an Oscar, but I'd rather watch a story like this than most movies with capes and poorly staged action sequences. I was sucked in from moment one, and Amber Midthunder completely captivated me for the whole runtime. It's nice to know that movies like this can still surprise me, not to mention make me stand up and cheer.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Beauty and the Beast,2017.0,"adventure, family, fantasy","As an unabashed fan of the 1991 film, I came to this version ready for a fight -- more than one! Who dares tamper with a classic? But bit by bit, and moment by moment, I was enchanted all over again: the human performances ""fleshed out"" the old animated ones; the coggier Cogsworth and more limited Lumiere charmed me afresh with their differences from memory. The new songs, though surprising, fit remarkably well, and I never felt that the score missed a beat. And when all was added up, the sum was far more than any of the new and varied parts: this is a fresh masterpiece, beginning as a riff but ending with something much much more than a ""cover"" -- if Disney can do this as well with its other planned live-action/CGI versions, then count me in. This is a brilliantly-crafted film that honors and yet moves beyond its beloved original.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Whale,2022.0,drama,Brendan Fraser has proved he still has it. It's a beautiful performance that's long overdue for him. A film that will make you cry and love Brendan. A must see. He has long been a fan favorite actor but this Blast from the Past will make you rethink his acting. A brilliant film that is a sneaky great film. If you are on the fence about seeing this you'll regret not seeing it. I felt a sense of sadness and love when watching this film and I cried many times. It's not a film that comes around 9ften but when it does it changes cinema. An Oscar contender film with real heart. The best film of 2022.,{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Irishman,2019.0,"biography, crime, drama","Amazing acting, great story lines and some twists. Loved how the story was told through the eyes of De Niro's character as he was at the end of his life.

For anyone that likes gangster movies, it is worth a watch - high quality actors from across the great gangster films. The only negative is that it lasts 3.5 hours. This would put me off watching it again soon, but definitely worth seeing for the first time.

Kept me glued throughout - defo give it a watch. You won't be disappointed.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Spider-Man: Homecoming,2017.0,"action, adventure, sci-fi","If you are a true fan of spider-man, this movie isn't for you but if you can keep an open mind you might actually enjoy it. It's predictable, like most super heroes movies, it's not a great movie but it's a good one! Even though Tom Holland performs a teenager that talks to much I kind of enjoy his performance. I would say it's a movie to watch when you want something light with a little bit of action.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Thor: Ragnarok,2017.0,"action, adventure, comedy","The action and humor mixed up in this movie was done with such quality that you forget about the problems with it, if there are even any at all! Thor kicks butt along with both new and old friends of his and unforgettable superhero power scenes that will make you smile! This was especially great seeing it in theaters!",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Zack Snyder's Justice League,2021.0,"action, adventure, fantasy","As a life long comic fan, DC characters are more close to my heart than Marvel characters. The first making of this film was just disappointing. It seems like there are bunch of idiots sitting on the WB executive positions who have no vision at all. The first film was literally incomplete. This one tells the full story and I must say nicely. This is the movie we, all the fans wanted and deserve.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Bones and All,2022.0,"drama, horror, romance","Two birds of a feather with a common appetite, living in the shadows with a curse they try to fight, struggle to give in, to temptations that spellbind, an addiction of the mind that leaves them hamstrung and confined; finding others with dependencies more practiced and distilled, whose lives have little meaning, all alone and unfulfilled, helpless and exposed by the hand they've all been played, the promised life and expectations, all diminished and betrayed.

Some great performances but all eclipsed by Taylor Russell who is outstanding as the conflicted Maren struggling to come to terms with who she is and what she can and cannot do about it.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Star Wars: Episode IX - The Rise of Skywalker,2019.0,"action, adventure, fantasy","I can't call this movie good. I yawned my way through the first half and when it finally started telling a story in the second half, I hated the story they told. I shouldn't be surprised from what they did in the previous movies though.

I just wish they respected the history of the movies and didn't try so hard to outdo everything that came before.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Anna,2019.0,"action, thriller","Well, I don't get all those harsh critics about the lack of realism, for example regarding the fight scenes, I mean, common, of course a killing machine like Anna is an impossibilty, but does anyone complain about the killing capacities of guys like James Bond, John McClane or John Wick!? Those movies any more realistic!? Anna is simple a nice entertaining action flick with some good fights, a beautiful and well performing actress, but for certain one of the more conventional and simpler movies made by Mr. Besson. All in all a good movie with some twists and fun moments but no masterpiece.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
The Father,2020.0,"drama, mystery ","It's just so sad and also a bit terrifying. My wife works as a nurse in an alzheimer's ward, and she said this is the most realistic depiction of the disease she has ever seen. She also said in her opinion it should be required viewing for anyone that works with alzheimer's or dementia patients. What a movie!",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Doctor Strange in the Multiverse of Madness,2022.0,"action, adventure, fantasy","Sam Raimi definitely put a splash of horror in this action film. Doctor Strange in the Multiverse of Madness is darker & more violent than any previous MCU movie, which could be considered a strength. However, I felt like there was not enough multiverse and maybe too much madness. Despite the entertaining visuals, the plot is fairly chaotic, and the acting & dialogue are inconsistent. This movie is an entertaining ride, but it's a little too messy to stand on its own.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Hamilton,2020.0,"biography, drama, history","I started watching this out of curiosity and to say I have seen it, being the cultural touchstone that it is. At first, I was a little detached, not liking the songs too much, and thinking I would probably just skip through to end in a minute. I couldn't stop watching and it really sucked me in. I have to say, I'm not sure I would have enjoyed it at all, live in the theater. I benefited greatly from the captions and the ability to put it on pause to consult Wikipedia from time to time. The lyrics were so clever and really told the story. I ended up very moved and almost cheering at the end. Of course, now that I am familiar with the story, I would love to see it live and would enjoy it immensely. But I would strongly recommend this for a first time viewing. I will definitely re-watch. And probably again and again.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Jumanji: The Next Level,2019.0,"action, adventure, comedy",I absolutely loved the first instalment and to a large extent those that enjoyed the first will enjoy this it's still entertaining fast paced and humerous. The only thing I found was rather than laughing out loud and being on the edge of my seat like the first I had the occasional chuckle sat back. Having said that laughing out loud or not I was never bored and still had a smile on my face for the majority of the film. A decent sequel exiting at in interesting point for a potential 3rd movie.,{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Shang-Chi and the Legend of the Ten Rings,2021.0,"action, adventure, fantasy","This was just a lot of fun. The story wasn't as tight as it could have been, but I found myself enjoying the whole movie regardless. The fight choreography was bangin', and all the action was just very well directed. Everything felt purposeful and exhilarating. The beginning of the movie feels like a straight-up martial arts movie and then as it progresses we get more and more fantasy elements working their way in which felt like a nice contrast. The music definitely felt like it added a lot here. I kept being reminded of how mixing different elements in with the more traditional orchestrated sounds really worked for Black Panther's soundtrack, and I honestly think this film did it even better. I think that, all in all, this is probably the best thing Marvel has produced since Endgame.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
Venom,2018.0,"action, adventure, sci-fi","Venom is about the symbiotic relationship of man and alien, with the latter being the gross one. Funny at times, with a lovely performance from Tom Hardy -if you are a fan of mr Hardy, this is going to be entertaining for you. First half goes very well in terms of setting the story and the venom universe, second part is more about action and there it has a few flaws but it is still fun and interesting to watch. It is a cool view on the ""almost anti-hero"" venom/eddie character that kept my attention. I had a good time watching this in the theaters and i ll definitely have a second view when it comes out in bray or dvd. So, all in all its def not the best action film of all times or even of 2018...but dont have too high expectations and you will definitely like it. 8/10.",{'error': '500 Server Error: Internal Server Error for url: https://api.zerogpt.com/api/detect/detectText'}
